assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1920,Season_2021
0,0,0,0,0.0,649,319,0,0,0.0,0.0,2020-06-28T15:30:00Z,0,18,0,0,0,0,41,0,0,3,1,0.0,0,0,0,0,45,False,0,Southampton,Watford,3,3,2,7.0,0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0
0,0,0,0,0.0,649,328,0,0,0.0,0.0,2020-07-05T18:00:00Z,0,11,0,0,0,0,42,0,17,0,1,0.0,0,8,10,2,45,True,0,Southampton,Man City,2,4,2,7.104166666666668,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0
0,0,0,0,0.0,649,336,0,0,0.0,0.0,2020-07-09T17:00:00Z,0,8,0,0,0,0,43,0,31,1,1,0.0,0,4,8,4,45,False,0,Southampton,Everton,3,4,2,3.9583333333333335,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1,0
0,0,0,0,0.0,649,345,0,0,0.0,0.0,2020-07-13T19:00:00Z,0,12,0,0,0,0,44,0,39,2,2,0.0,0,0,2,2,45,False,0,Southampton,Man Utd,3,4,2,4.083333333333333,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0
0,0,0,0,0.0,649,359,0,0,0.0,0.0,2020-07-16T19:15:00Z,0,4,0,0,0,0,45,0,52,1,1,0.0,0,5,8,3,45,True,0,Southampton,Brighton,2,2,2,3.0104166666666665,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1,0
0,0,0,0,0.0,649,362,0,0,0.0,0.0,2020-07-19T13:00:00Z,0,3,0,0,0,0,46,0,56,2,0,0.0,0,0,4,4,45,False,0,Southampton,Bournemouth,3,2,2,2.739583333333333,0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1,0
0,0,0,0,0.0,649,379,0,0,0.0,0.0,2020-07-26T15:00:00Z,0,15,0,0,0,0,47,0,73,1,3,0.0,0,6,13,7,45,True,0,Southampton,Sheffield Utd,2,3,2,7.083333333333332,0,0.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1,0
0,0,0,0,0.0,643,197,0,0,0.0,0.0,2021-01-26T20:15:00Z,0,1,0,0,0,0,20,0,0,3,1,0.0,0,0,0,0,45,True,0,Southampton,Arsenal,2,3,2,7.0,0,0.0,-2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0,1
0,0,3,0,0.3,643,206,0,0,0.5,4.4,2021-01-30T20:00:00Z,1,2,0,0,0,0,21,0,28,1,0,0.0,1,14,18,4,45,True,0,Southampton,Aston Villa,2,2,2,3.9895833333333335,0,0.0,-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0,1
0,0,-7,0,0.0,643,213,9,0,0.0,0.0,2021-02-02T20:15:00Z,1,13,0,0,0,1,22,0,65,0,9,0.0,-2,23,32,9,45,False,0,Southampton,Man Utd,2,4,2,2.0104166666666665,0,0.5,-9,0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,1
