first_name,second_name,Position,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,team_id,team_name,team_rank
Teddy,Jenks,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,4,Brighton,16
Max,Sanders,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,4,Brighton,16
Jensen,Weir,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,4,Brighton,16
Thomas,McGill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,39,4,Brighton,16
Michal,Karbownik,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,4,Brighton,16
Moisés,Caicedo,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,4,Brighton,16
Dale,Stephens,2,0,0,8,257,4,8.3,31,41,0,33,8,0,0,1,3.1,42,5,Burnley,17
James,Tarkowski,1,1,0,109,3240,50,148,773.4,350,9,534,127.7,11,0,6,3,53,5,Burnley,17
Phil,Bardsley,1,0,0,2,273,8,12.9,39.4,6,0,28,5.9,0,0,2,0.2,44,5,Burnley,17
Erik,Pieters,1,0,3,50,1260,19,77,199.4,63,5,203,34,3,0,1,0.4,43,5,Burnley,17
Jack,Cork,2,0,0,33,1350,24,126.2,140,82,0,154,34.9,4,0,2,0,50,5,Burnley,17
Kevin,Long,1,0,0,14,636,13,12,102.6,25,1,85,14,1,0,2,0.1,43,5,Burnley,17
Jay,Rodriguez,3,1,3,54,1248,25,97.4,149.8,449,2,125,68.9,4,0,3,0.3,57,5,Burnley,17
Ashley,Barnes,3,3,0,52,1324,19,243.6,153.8,548,7,107,93.8,6,0,4,0.2,60,5,Burnley,17
Ben,Mee,1,2,0,102,2693,41,71.6,691,312,7,500,107.9,10,0,3,2.9,47,5,Burnley,17
Ashley,Westwood,2,3,4,112,3410,55,843.2,559.2,156,5,585,156.1,11,0,7,0.7,53,5,Burnley,17
Johann Berg,Gudmundsson,2,2,0,50,1358,24,160.8,193.6,170,3,175,52.3,3,0,2,0,54,5,Burnley,17
Chris,Wood,3,12,3,138,2741,43,323.2,595.8,1129,16,395,204,9,0,0,5.6,66,5,Burnley,17
Matthew,Lowton,1,1,1,103,3060,47,380.8,551.2,125,6,545,105.8,10,0,5,2.5,44,5,Burnley,17
Matej,Vydra,3,3,2,62,1359,24,194,197.4,491,2,194,87.3,3,0,0,1.5,48,5,Burnley,17
Ben,Gibson,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,39,5,Burnley,17
Robbie,Brady,2,1,1,44,1047,6,133.9,174.2,168,3,157,47.2,7,0,3,0,50,5,Burnley,17
Nick,Pope,0,0,0,144,2880,37,20,846.6,2,20,652,86.8,11,0,1,9.6,55,5,Burnley,17
Charlie,Taylor,1,0,2,83,2425,42,248.5,494.4,52,5,451,79.5,8,0,1,1.4,44,5,Burnley,17
Josh,Brownhill,2,0,1,74,2812,42,309.1,350.4,384,0,359,104.5,10,0,2,0.1,49,5,Burnley,17
Bailey,Peacock-Farrell,0,0,0,3,360,14,0,82.6,0,0,49,8.2,0,0,0,1.1,40,5,Burnley,17
Dwight,McNeil,2,2,5,113,3068,50,790.3,591.8,277,8,493,166.3,11,0,1,0.5,57,5,Burnley,17
Jimmy,Dunne,1,1,0,9,270,6,22.1,79.6,81,0,50,18.3,0,0,1,4.1,38,5,Burnley,17
Bobby,Thomas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,39,5,Burnley,17
Josh,Benson,2,0,0,10,260,7,7.9,16,13,0,27,3.7,1,0,0,0,44,5,Burnley,17
Anthony,Driscoll-Glennon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,39,5,Burnley,17
Mace,Goodridge,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,5,Burnley,17
Will,Norris,0,0,0,3,180,4,10,15.2,0,0,20,2.6,0,0,0,0.1,40,5,Burnley,17
Max,Thompson,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,45,5,Burnley,17
Lewis,Richardson,3,0,0,2,3,0,0,0,0,0,5,0,0,0,0,0.1,45,5,Burnley,17
Anthony,Mancini,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,5,Burnley,17
Joel,Mumbongo,3,0,0,3,37,1,1.8,0,0,0,5,0.1,0,0,1,0,45,5,Burnley,17
Richard,Nartey,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,5,Burnley,17
Willy,Caballero,0,0,0,1,90,3,0,4.2,0,0,7,0.4,0,0,0,0.2,46,6,Chelsea,4
César,Azpilicueta,1,1,2,113,2187,20,413.3,502.2,164,12,518,107.9,13,1,5,6.4,58,6,Chelsea,4
Olivier,Giroud,3,4,0,47,740,5,112,161.4,403,6,139,67.2,4,0,1,1.1,67,6,Chelsea,4
Marcos,Alonso,1,2,1,57,958,13,204.1,224.2,328,5,225,75.6,5,0,2,2.2,56,6,Chelsea,4
Jorge Luiz,Frello Filho,2,7,2,114,2006,17,383.5,588.8,175,15,485,114.9,14,0,2,4.7,47,6,Chelsea,4
Mateo,Kovacic,2,0,1,54,1809,26,384.8,332.4,153,0,332,87,9,0,4,0.3,53,6,Chelsea,4
Antonio,Rüdiger,1,1,0,93,1710,10,83.8,368.6,201,9,429,65.4,11,0,0,5.6,47,6,Chelsea,4
Kurt,Zouma,1,5,0,108,2027,25,72.6,577.8,339,6,481,99,9,0,3,8,53,6,Chelsea,4
Emerson,Palmieri dos Santos,1,0,0,7,88,0,7.7,17.4,2,0,24,2.7,1,0,0,0.1,47,6,Chelsea,4
Kepa,Arrizabalaga,0,0,0,26,585,8,0,113.6,0,5,117,11.3,2,0,1,0.6,47,6,Chelsea,4
N'Golo,Kanté,2,0,2,62,2140,24,347.3,449,96,0,375,89.7,10,0,7,2.4,49,6,Chelsea,4
Hakim,Ziyech,2,2,3,70,1164,7,485.6,274.8,369,8,239,112.8,10,0,3,2.1,79,6,Chelsea,4
Andreas,Christensen,1,0,0,61,1371,17,80.9,293.4,34,9,323,40.9,8,1,2,1.1,47,6,Chelsea,4
Timo,Werner,3,6,12,128,2598,29,532.4,514.8,1276,7,394,232.5,13,0,2,10.8,92,6,Chelsea,4
Tammy,Abraham,3,6,2,69,1031,12,121.6,277.2,483,8,224,86.6,5,0,0,2,71,6,Chelsea,4
Christian,Pulisic,2,4,3,82,1731,21,378.8,361.4,724,3,264,146.2,7,0,2,2.8,83,6,Chelsea,4
Mason,Mount,2,6,7,147,2887,32,1336.9,770.4,954,16,599,306.3,14,0,2,17.3,73,6,Chelsea,4
Fikayo,Tomori,1,0,0,0,45,2,0.1,26.6,0,0,8,2.7,0,0,0,0.2,47,6,Chelsea,4
Callum,Hudson-Odoi,2,2,3,59,1050,5,471.5,291.8,336,2,239,109.9,6,0,0,0.4,57,6,Chelsea,4
Reece,James,1,1,3,112,2367,29,697.3,527.4,399,15,572,162.8,9,0,3,6.9,51,6,Chelsea,4
Billy,Gilmour,2,0,0,8,259,2,50.9,36,8,0,38,9.5,1,0,0,0.1,43,6,Chelsea,4
Benjamin,Chilwell,1,3,6,139,2286,23,535.8,545,408,11,549,148.5,12,0,3,14.6,59,6,Chelsea,4
Thiago,Thiago,1,2,0,92,1935,25,84.9,537.8,223,10,481,84.5,10,1,3,2.8,56,6,Chelsea,4
Kai,Havertz,2,4,6,91,1512,15,307.7,325,514,3,268,114.2,8,0,2,3.1,83,6,Chelsea,4
Edouard,Mendy,0,0,0,140,2745,25,0,470.2,0,8,613,47.2,16,0,2,10.9,53,6,Chelsea,4
Karlo,Ziger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,40,6,Chelsea,4
Faustino,Anjorin,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,6,Chelsea,4
Valentino,Livramento,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,6,Chelsea,4
Michy,Batshuayi,3,2,2,41,717,15,113.5,132.8,210,2,113,45.5,2,0,0,0.6,57,7,Crystal Palace,14
Gary,Cahill,1,1,1,53,1800,39,90.1,406.2,157,6,308,65.7,4,0,3,0.2,45,7,Crystal Palace,14
Wayne,Hennessey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,43,7,Crystal Palace,14
Mamadou,Sakho,1,0,0,4,275,8,1.6,36.6,6,0,33,4.5,0,0,0,0.1,44,7,Crystal Palace,14
Vicente,Guaita,0,0,0,124,3330,64,0,819.4,0,15,639,82.2,8,0,2,3.6,48,7,Crystal Palace,14
James,Tomkins,1,0,0,18,551,12,11.4,101.2,29,2,97,14.1,2,0,1,0,44,7,Crystal Palace,14
James,McArthur,2,0,2,45,1465,26,202.2,285.2,65,3,228,55.2,4,0,3,0.1,52,7,Crystal Palace,14
James,McCarthy,2,0,0,26,816,15,87.2,112.2,10,0,129,20.9,2,0,1,0.7,43,7,Crystal Palace,14
Christian,Benteke,3,10,2,106,1808,34,236.5,512.6,1030,14,338,177.7,5,1,1,1.3,55,7,Crystal Palace,14
Cheikhou,Kouyaté,2,1,0,82,3121,56,103,574.8,134,2,438,81.3,8,0,4,0.3,48,7,Crystal Palace,14
Joel,Ward,1,0,1,66,2255,43,118.2,366.8,28,6,353,51.3,7,0,5,1.2,43,7,Crystal Palace,14
Martin,Kelly,1,0,0,1,1,0,0,2.2,0,0,3,0.2,0,0,0,0.2,41,7,Crystal Palace,14
Connor,Wickham,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,44,7,Crystal Palace,14
Andros,Townsend,2,1,5,94,2250,37,694.6,511.4,311,8,378,152.1,7,0,0,1.1,55,7,Crystal Palace,14
Luka,Milivojevic,2,1,1,63,2357,47,329.6,410.8,143,3,332,88.4,7,1,8,0.2,56,7,Crystal Palace,14
Patrick,van Aanholt,1,0,2,54,1775,36,195.3,298.6,198,5,313,69.1,4,0,2,0.4,54,7,Crystal Palace,14
Jordan,Ayew,3,1,4,70,2086,42,238.6,278.6,451,2,216,96.6,6,0,4,1.4,56,7,Crystal Palace,14
Wilfried,Zaha,2,11,4,136,2612,52,428.5,572.6,1003,11,362,200.4,6,0,6,9.9,71,7,Crystal Palace,14
Jeffrey,Schlupp,2,2,3,65,1415,26,242.1,336.6,304,3,194,88.2,5,0,3,0.1,53,7,Crystal Palace,14
Max,Meyer,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,7,Crystal Palace,14
Jairo,Riedewald,2,2,0,64,1810,39,160.4,274,88,4,249,52.4,4,0,4,0.7,44,7,Crystal Palace,14
Nathan,Ferguson,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,38,7,Crystal Palace,14
Tyrick,Mitchell,1,1,2,58,1710,32,76.8,387.6,60,5,287,52.5,4,0,1,12.8,38,7,Crystal Palace,14
Brandon,Pierrick,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,43,7,Crystal Palace,14
Scott,Dann,1,1,1,39,1350,24,17,284.6,99,1,233,40.3,2,0,1,0.5,42,7,Crystal Palace,14
Eberechi,Eze,2,4,8,125,2555,51,653.1,516.2,383,17,470,155.4,6,0,3,1.2,58,7,Crystal Palace,14
Sam,Woods,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,40,7,Crystal Palace,14
Ryan,Inniss,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,7,Crystal Palace,14
Nathaniel,Clyne,1,0,1,28,1145,22,84.3,150.8,34,0,172,27.2,2,0,2,0.1,45,7,Crystal Palace,14
Stephen,Henderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,40,7,Crystal Palace,14
Jack,Butland,0,0,0,2,90,2,0,16.6,0,0,14,1.7,0,0,0,0.1,45,7,Crystal Palace,14
Jean-Philippe,Mateta,3,1,0,15,215,4,16.2,46.6,80,2,45,14,0,0,0,0,53,7,Crystal Palace,14
Reece,Hannam,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,7,Crystal Palace,14
Jesurun,Rak-Sakyi,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,7,Crystal Palace,14
Fabian,Delph,2,0,0,8,260,6,29.8,37,1,0,48,6.8,0,0,1,0,48,8,Everton,10
Gylfi,Sigurdsson,2,6,5,122,2244,29,644.2,530.6,510,13,443,168.8,10,0,2,2.9,68,8,Everton,10
Jonas,Lössl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,43,8,Everton,10
Seamus,Coleman,1,0,3,81,1607,19,268.2,322.6,189,4,371,78,8,0,0,2.4,49,8,Everton,10
Cenk,Tosun,3,0,0,4,44,3,11.6,2.2,4,0,12,1.8,0,0,1,0,60,8,Everton,10
Bernard,Anício Caldeira Duarte,2,1,0,21,447,7,142.7,104.8,80,1,75,32.7,2,0,2,0.1,57,8,Everton,10
Lucas,Digne,1,0,9,120,2681,42,704.2,592.6,136,18,590,143.5,9,1,2,11.4,62,8,Everton,10
Michael,Keane,1,3,1,127,2989,43,87.8,814,243,13,649,114.5,11,0,4,6.3,50,8,Everton,10
Jordan,Pickford,0,0,0,114,2742,39,10.1,698.4,0,8,570,70.9,10,0,1,5.3,48,8,Everton,10
André Filipe,Tavares Gomes,2,0,1,48,1559,22,244.5,189,103,0,224,53,5,0,3,0.2,53,8,Everton,10
Alex,Iwobi,2,1,3,65,1530,21,263.1,262.6,233,1,256,76,5,0,0,0.2,59,8,Everton,10
Jonjoe,Kenny,1,0,0,5,78,1,8.1,11,8,0,19,2.8,0,0,0,0.1,43,8,Everton,10
Jean-Philippe,Gbamin,2,0,0,1,11,1,0.9,3.8,0,0,1,0.5,0,0,0,0,50,8,Everton,10
Yerry,Mina,1,2,0,79,1936,22,23.5,496.2,200,7,399,72.3,6,0,2,1.7,55,8,Everton,10
Tom,Davies,2,0,1,47,1417,23,112,205.6,30,1,209,34.7,5,0,3,0.1,52,8,Everton,10
Dominic,Calvert-Lewin,3,16,6,165,2871,39,308,745.8,1439,21,528,249,11,0,3,29.5,75,8,Everton,10
Mason,Holgate,1,1,0,80,2286,32,126,432.2,80,4,426,64.1,9,0,9,1,48,8,Everton,10
Richarlison,de Andrade,3,7,6,123,2862,38,359.7,576.4,1147,18,415,208.3,11,1,4,7.1,77,8,Everton,10
João,Virgínia,0,0,0,2,47,0,0,25,0,0,10,2.5,0,0,0,0.1,43,8,Everton,10
Anthony,Gordon,2,0,0,3,87,0,12.7,14.4,4,0,11,3.1,0,0,0,0.4,43,8,Everton,10
Moise,Kean,3,0,0,2,13,0,1.3,0,11,0,1,0.9,0,0,0,0.2,57,8,Everton,10
Jarrad,Branthwaite,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,8,Everton,10
Allan,Marques Loureiro,2,0,0,47,2050,30,233.3,366.6,42,0,290,64.4,7,0,6,0.6,52,8,Everton,10
James,Rodríguez,2,6,5,101,1763,27,585.6,499.2,399,11,432,148.7,5,0,4,7.8,77,8,Everton,10
Abdoulaye,Doucouré,2,2,3,80,2443,36,319.4,433.8,267,2,421,102.1,9,0,6,0.6,51,8,Everton,10
