first_name,second_name,Position,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,team_id,team_name,team_rank
Niels,Nkounkou,1,0,0,2,80,1,5.7,15,1,0,9,2.2,0,0,1,0.2,40,8,Everton,10
Ben,Godfrey,1,0,2,100,2683,35,84.3,610.4,152,7,537,84.8,11,0,4,1.9,51,8,Everton,10
Robin,Olsen,0,0,0,25,630,9,0,166.4,0,3,119,16.7,2,0,1,0.1,45,8,Everton,10
Ellis,Simms,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,45,8,Everton,10
Tyler,Onyango,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,8,Everton,10
Joshua,King,3,0,0,11,138,2,5.6,13.4,31,0,18,5,0,0,0,0.1,50,8,Everton,10
Kyle,John,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,8,Everton,10
Nathan,Broadhead,2,0,0,1,2,0,0,2,0,0,5,0.2,0,0,0,0,45,8,Everton,10
Ryan,Astley,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,8,Everton,10
Harry,Tyrer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,8,Everton,10
Reece,Welch,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,8,Everton,10
Isaac,Price,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,8,Everton,10
Ruben,Loftus-Cheek,2,1,0,66,1962,22,274.2,201.6,439,0,178,91.4,11,0,3,0.2,59,22,Fulham,18
Fabricio,Agosto Ramírez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,39,22,Fulham,18
Kevin,McDonald,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,22,Fulham,18
Maxime,Le Marchand,1,0,0,1,122,1,1.6,12.6,1,0,12,1.6,0,0,2,0,41,22,Fulham,18
Stefan,Johansen,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,22,Fulham,18
Tom,Cairney,2,1,1,27,758,15,278.3,170.6,124,2,160,57.3,1,0,2,0.1,52,22,Fulham,18
Tim,Ream,1,0,0,10,630,13,8.1,133.6,2,0,103,14.5,0,0,0,0.1,42,22,Fulham,18
Anthony,Knockaert,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,22,Fulham,18
Michael,Hector,1,0,0,0,262,10,11.3,40.8,18,0,32,6.9,0,0,2,0.1,41,22,Fulham,18
Cyrus,Christie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,22,Fulham,18
Neeskens,Kebano,2,0,0,6,116,3,14.6,1.4,47,0,13,5.9,0,0,0,0,47,22,Fulham,18
Bobby,Decordova-Reid,3,5,3,88,2367,32,254.1,384.8,503,6,343,114.1,9,0,7,0.6,53,22,Fulham,18
Joe,Bryan,1,1,1,27,663,17,100.4,143.2,85,2,132,32.8,0,0,2,0.3,45,22,Fulham,18
Marcus,Bettinelli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,22,Fulham,18
Aleksandar,Mitrović,3,3,3,63,1389,24,323.8,245.6,697,7,178,124.9,1,0,3,3.2,55,22,Fulham,18
Alfie,Mawson,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,22,Fulham,18
Marek,Rodák,0,0,0,2,180,5,0,32.6,0,0,23,3.2,0,0,0,0.2,43,22,Fulham,18
Ivan Ricardo,Neves Abreu Cavaleiro,2,3,0,85,2465,43,647.2,347,530,4,261,152.5,7,0,2,0.1,53,22,Fulham,18
Josh,Onomah,2,0,0,13,369,12,28.7,33.6,47,0,46,10.7,0,0,1,0,46,22,Fulham,18
Jean Michaël,Seri,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,22,Fulham,18
Aboubakar,Kamara,2,0,0,8,307,9,76.8,22.6,39,0,14,13.2,0,1,1,0,48,22,Fulham,18
André-Frank,Zambo Anguissa,2,0,3,76,2581,40,409.4,507.6,312,4,391,123.1,6,0,6,1.2,44,22,Fulham,18
Zeze Steven,Sessegnon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,22,Fulham,18
Harrison,Reed,2,0,3,69,2243,35,330.4,421.2,82,0,391,83.5,9,0,5,0.5,44,22,Fulham,18
Antonee,Robinson,1,0,0,57,2159,28,475.8,451.4,178,1,393,110.8,5,1,4,0.2,44,22,Fulham,18
Mario,Lemina,2,1,1,55,1696,27,169.5,294,134,3,267,59.9,3,0,5,0.3,45,22,Fulham,18
Alphonse,Areola,0,0,0,124,3240,48,0,876.2,0,9,637,87.4,9,0,2,4.7,45,22,Fulham,18
Kenny,Tete,1,0,1,50,1477,27,312.4,330.8,98,3,288,74.2,5,0,3,0.1,43,22,Fulham,18
Denis,Odoi,1,0,0,1,270,10,20.8,35.4,8,0,34,6.4,0,0,1,0.1,42,22,Fulham,18
Ademola,Lookman,2,4,4,107,2746,33,884.6,514.2,928,8,367,232.7,10,0,5,1.3,47,22,Fulham,18
Ola,Aina,1,2,1,102,2664,36,248.8,483.6,144,8,477,87.7,8,0,3,2,43,22,Fulham,18
Joachim,Andersen,1,1,1,93,2729,36,109.3,582.8,151,7,501,84.5,9,1,6,0.4,45,22,Fulham,18
Tosin,Adarabioyo,1,0,1,100,2953,41,70.1,673.8,223,11,571,97.1,9,0,1,0.6,45,22,Fulham,18
Terence,Kongolo,1,0,0,2,90,1,4.7,16.8,2,0,15,2.4,0,0,0,0,43,22,Fulham,18
Josh,Maja,3,3,0,40,804,9,103.2,138,314,5,123,55.3,5,0,0,0.5,50,22,Fulham,18
Fabio,Carvalho,2,1,0,12,254,6,30.8,72.4,161,0,42,26.5,0,0,0,0,45,22,Fulham,18
Sylvester,Jasper,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,22,Fulham,18
Tyrese,Francois,2,0,0,1,14,1,1.3,1.2,0,0,2,0.3,0,0,0,0,45,22,Fulham,18
Wes,Morgan,1,0,0,3,16,0,0.1,3,0,0,9,0.3,0,0,0,0.1,44,9,Leicester City,5
Kasper,Schmeichel,0,0,0,128,3420,50,0,769,0,6,631,76.9,11,0,0,9.6,54,9,Leicester City,5
Christian,Fuchs,1,0,0,24,701,9,33.9,137,22,2,112,19.2,3,0,4,0.2,45,9,Leicester City,5
Jonny,Evans,1,2,2,109,2473,31,129,532.4,115,12,536,77.9,10,0,7,1.4,56,9,Leicester City,5
Adrien,Silva,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,44,9,Leicester City,5
Marc,Albrighton,2,1,7,78,1735,22,544.2,412.6,282,3,325,123.9,4,0,2,0.2,52,9,Leicester City,5
Matty,James,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,43,9,Leicester City,5
Danny,Ward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,43,9,Leicester City,5
Jamie,Vardy,3,15,14,187,2838,44,356.6,819.2,1306,23,649,248.3,8,0,1,17.5,102,9,Leicester City,5
Dennis,Praet,2,1,2,37,714,11,132.1,119.2,120,1,129,36.9,3,0,0,0.1,52,9,Leicester City,5
Ricardo Domingos,Barbosa Pereira,1,0,1,27,954,19,162.4,183.4,144,0,152,48.9,2,0,3,0.6,59,9,Leicester City,5
Daniel,Amartey,1,1,0,19,718,12,10.9,155,61,2,121,22.7,0,0,3,1.2,39,9,Leicester City,5
