first_name,second_name,Position,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,team_id,team_name,team_rank
Robert Kenedy,Nunes do Nascimento,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,DEF,6,Chelsea,
Conor,Gallagher,2,7,5,105,1839,29,519.8,562,519,14,369,159.9,5,0,6,16.6,62,MID,7,Crystal Palace,
Vicente,Guaita,0,0,0,71,1890,29,0,424.8,0,3,379,42.4,6,0,1,6.9,46,GK,7,Crystal Palace,
James,Tomkins,1,1,0,17,545,11,22,140.4,88,2,97,25.1,0,0,2,0.1,43,DEF,7,Crystal Palace,
James,McArthur,2,0,2,34,974,12,157.7,198.8,79,4,176,43.5,4,0,3,1.2,43,MID,7,Crystal Palace,
Christian,Benteke,3,4,1,54,1084,19,163.7,247.6,513,6,166,91.9,4,0,3,1.5,61,FWD,7,Crystal Palace,
Cheikhou,Kouyaté,1,0,1,53,1318,22,58.8,227.4,32,5,290,31.9,5,0,0,0.5,45,DEF,7,Crystal Palace,
Martin,Kelly,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,39,DEF,7,Crystal Palace,
Luka,Milivojevic,2,0,0,15,567,12,143.5,54.2,30,0,89,22.8,1,0,1,0,53,MID,7,Crystal Palace,
Jordan,Ayew,3,1,3,50,1425,25,303,212.6,350,1,176,86.6,6,0,1,0.8,58,FWD,7,Crystal Palace,
Wilfried,Zaha,2,6,1,70,1571,24,347.5,358.8,469,4,193,117.3,5,1,3,4.7,68,MID,7,Crystal Palace,
Jeffrey,Schlupp,2,2,1,44,931,12,112.7,198.2,259,0,145,57.2,4,0,1,0.1,54,MID,7,Crystal Palace,
Jack,Butland,0,0,0,14,270,6,0,91.6,0,3,60,9.2,0,0,0,0.4,44,GK,7,Crystal Palace,
Jairo,Riedewald,2,0,0,4,116,5,27.5,11.2,2,0,16,4,0,0,0,0,47,MID,7,Crystal Palace,
Jarosław,Jach,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,DEF,7,Crystal Palace,
Jean-Philippe,Mateta,3,1,1,18,394,7,36,82.4,152,0,55,26.9,1,0,1,0.3,52,FWD,7,Crystal Palace,
Eberechi,Eze,2,0,0,6,133,2,24.3,11,9,0,19,4.5,1,0,1,0.1,59,MID,7,Crystal Palace,
Nathan,Ferguson,1,0,0,1,8,0,0,0.2,0,0,3,0,0,0,0,0,45,DEF,7,Crystal Palace,
Tyrick,Mitchell,1,0,1,68,2151,35,278.9,416.4,58,4,357,75.4,6,0,0,1.3,45,DEF,7,Crystal Palace,
Will,Hughes,2,0,2,27,729,14,124.1,114.6,50,2,131,28.8,2,0,2,0.1,47,MID,7,Crystal Palace,
Michael,Olise,2,2,4,48,562,10,196.5,198,123,5,175,51.8,1,0,2,0.8,54,MID,7,Crystal Palace,
Joel,Ward,1,0,0,55,2070,34,125.6,384.8,53,2,336,56.5,6,0,6,0.3,45,DEF,7,Crystal Palace,
Marc,Guéhi,1,2,0,72,2070,32,38.4,471.4,162,4,417,67.5,6,0,4,1.7,45,DEF,7,Crystal Palace,
Joachim,Andersen,1,0,2,61,1654,26,105,324,97,6,331,52.6,6,0,3,0.4,45,DEF,7,Crystal Palace,
Nathaniel,Clyne,1,0,0,2,91,1,0.4,16.4,0,0,9,1.7,0,0,1,0.1,43,DEF,7,Crystal Palace,
Reece,Hannam,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,39,DEF,7,Crystal Palace,
Jesurun,Rak-Sakyi,2,0,0,1,13,0,5,1,0,0,3,0.6,0,0,0,0,44,MID,7,Crystal Palace,
Robert,Street,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,FWD,7,Crystal Palace,
Scott,Banks,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,7,Crystal Palace,
Remi,Matthews,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,39,GK,7,Crystal Palace,
Odsonne,Edouard,3,6,4,80,1237,18,211.2,353,519,9,258,108.6,7,0,1,9.3,65,FWD,7,Crystal Palace,
Anwar,El Ghazi,2,1,1,21,390,8,84.7,74.6,85,1,58,24.3,1,0,2,0.3,56,MID,8,Everton,
Fabian,Delph,2,0,0,6,247,4,19,39.2,8,0,45,6.6,0,0,1,0.4,43,MID,8,Everton,
Gylfi,Sigurdsson,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,67,MID,8,Everton,
Seamus,Coleman,1,1,1,46,1493,32,159.5,303.8,135,5,246,59.7,3,0,2,0.5,49,DEF,8,Everton,
James,Rodríguez,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,69,MID,8,Everton,
Bernard,Anício Caldeira Duarte,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,MID,8,Everton,
Michael,Keane,1,2,2,68,1890,37,92.3,499.8,143,7,351,73.6,4,0,1,2.7,48,DEF,8,Everton,
Jordan,Pickford,0,0,0,64,1890,35,23,467.8,0,4,358,49.1,4,0,1,4.5,49,GK,8,Everton,
Allan,Marques Loureiro,2,0,3,48,1627,30,189.3,304,57,2,246,55.2,4,0,4,3.5,43,MID,8,Everton,
André Filipe,Tavares Gomes,2,0,1,13,451,12,78.9,75.8,121,0,37,27.7,0,0,3,0.1,49,MID,8,Everton,
Abdoulaye,Doucouré,2,2,5,63,1414,25,152.8,312.6,321,8,260,78.8,2,0,4,1.2,53,MID,8,Everton,
Alex,Iwobi,2,1,1,34,798,17,190.8,153.4,245,2,126,58.7,2,0,1,0.2,58,MID,8,Everton,
Yerry,Mina,1,0,0,16,647,8,3.8,114,45,0,97,16,1,0,2,0.3,49,DEF,8,Everton,
Tom,Davies,2,1,0,11,154,5,8,51.4,90,0,39,15,0,0,0,0.1,48,MID,8,Everton,
Dominic,Calvert-Lewin,3,3,0,28,589,9,83.5,141.2,296,5,87,52.1,2,0,1,4.2,79,FWD,8,Everton,
Mason,Holgate,1,0,1,20,877,15,3.9,133,38,0,110,17.4,2,1,2,0.5,42,DEF,8,Everton,
Ben,Godfrey,1,0,0,29,1489,32,150,308,194,1,223,65.4,2,0,4,0.4,47,DEF,8,Everton,
Richarlison,de Andrade,3,4,3,55,1186,23,216.3,277.6,406,8,173,89.4,3,0,5,5,75,FWD,8,Everton,
João,Virgínia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,40,GK,8,Everton,
Donny,van de Beek,2,1,0,18,189,3,52.8,79,65,1,64,19.7,1,0,0,0.6,57,MID,8,Everton,
Bamidele,Alli,2,1,0,28,738,16,94.3,152.8,105,1,88,35.4,3,0,1,1.3,62,MID,8,Everton,
Asmir,Begović,0,0,0,1,90,3,0,10.4,0,0,9,1,0,0,0,2.6,40,GK,8,Everton,
Andros,Townsend,2,3,2,63,1410,29,466.8,348.2,220,8,244,103.4,3,0,3,2.5,52,MID,8,Everton,
Demarai,Gray,2,5,3,73,1532,26,410.2,369.2,555,2,268,133.5,3,0,3,7,55,MID,8,Everton,
Jonjoe,Kenny,1,0,1,14,355,5,76.5,67.8,23,0,72,16.8,1,0,1,0.1,44,DEF,8,Everton,
Anthony,Gordon,2,3,2,56,1079,21,236.9,287.4,381,5,178,90.5,2,0,1,1,45,MID,8,Everton,
Jean-Philippe,Gbamin,2,0,0,3,65,2,0.6,7,0,0,10,0.8,0,0,0,0,44,MID,8,Everton,
Jarrad,Branthwaite,1,1,0,9,145,4,1.1,55.4,40,1,34,9.7,0,0,0,0.4,40,DEF,8,Everton,
Nathan,Broadhead,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,FWD,8,Everton,
Moise,Kean,3,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,60,FWD,8,Everton,
Niels,Nkounkou,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,DEF,8,Everton,
Andy,Lonergan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,40,GK,8,Everton,
Salomón,Rondón,3,1,0,24,710,15,94.9,77,301,2,63,47.2,2,0,2,0.2,60,FWD,8,Everton,
Ellis,Simms,3,0,0,2,61,0,0.4,6.4,0,0,6,0.7,1,0,0,0.3,45,FWD,8,Everton,
Lewis,Dobbin,3,0,0,2,30,1,0.9,2.4,4,0,6,0.8,0,0,1,0.5,45,FWD,8,Everton,
Charlie,Whitaker,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,8,Everton,
Harry,Tyrer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,40,GK,8,Everton,
Cenk,Tosun,3,0,0,1,5,0,0.1,0,0,0,3,0,0,0,0,0.1,50,FWD,8,Everton,
Reece,Welch,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,DEF,8,Everton,
Tyler,Onyango,2,0,0,3,27,0,0,1.2,18,0,8,1.9,0,0,0,0,45,MID,8,Everton,
Nathan,Patterson,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,DEF,8,Everton,
Vitalii,Mykolenko,1,0,0,1,90,2,6.7,19.2,4,0,15,3,0,0,0,0,50,DEF,8,Everton,
Kasper,Schmeichel,0,0,0,68,1980,41,1.1,633.2,0,5,409,63.6,3,0,1,12.3,48,GK,9,Leicester City,
Jonny,Evans,1,1,1,19,751,16,37.4,219.4,69,0,137,32.6,0,0,2,0.2,54,DEF,9,Leicester City,
Marc,Albrighton,2,1,0,22,632,17,78.8,131.2,29,1,91,24,0,0,1,0.1,52,MID,9,Leicester City,
Nampalys,Mendy,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,43,MID,9,Leicester City,
Danny,Ward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,40,GK,9,Leicester City,
Jamie,Vardy,3,9,1,79,1320,23,174.9,359.6,529,14,282,105.9,2,0,2,9,103,FWD,9,Leicester City,
Dennis,Praet,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,MID,9,Leicester City,
Ricardo Domingos,Barbosa Pereira,1,1,2,27,685,14,96.2,208.6,71,3,144,37.6,1,0,2,1.5,52,DEF,9,Leicester City,
Daniel,Amartey,1,0,0,23,1055,24,29.3,234.6,9,2,194,27.2,2,0,1,8.7,38,DEF,9,Leicester City,
Timothy,Castagne,1,0,0,29,1271,21,100.4,225,40,1,177,36.7,2,0,1,0.5,53,DEF,9,Leicester City,
Youri,Tielemans,2,6,2,84,1469,29,396,519.8,304,13,366,121.3,2,0,1,3.6,64,MID,9,Leicester City,
Ayoze,Pérez,2,0,2,13,216,9,93.2,68.8,110,0,37,26.7,1,1,0,0.1,57,MID,9,Leicester City,
James,Maddison,2,6,6,99,1501,31,343.9,401.2,501,11,333,124.7,3,0,2,10.1,69,MID,9,Leicester City,
Kelechi,Iheanacho,3,2,4,45,615,14,147.3,182.8,219,6,142,54.6,0,0,0,1.9,69,FWD,9,Leicester City,
Hamza,Choudhury,2,0,0,4,223,4,2.4,36.8,6,0,26,4.6,0,0,1,0.1,44,MID,9,Leicester City,
Harvey,Barnes,2,2,6,65,1204,24,254.4,239.4,594,4,172,108.6,3,0,2,2.1,65,MID,9,Leicester City,
Wilfred,Ndidi,2,0,1,33,1350,24,42.2,264,140,0,201,44.8,3,0,3,0.8,48,MID,9,Leicester City,
Çaglar,Söyüncü,1,1,0,36,1687,33,39.6,397.8,58,0,285,49.6,2,0,3,1.5,49,DEF,9,Leicester City,
James,Justin,1,0,0,4,247,6,36.2,50.6,8,0,30,9.5,0,0,0,0.2,49,DEF,9,Leicester City,
Luke,Thomas,1,0,1,32,1191,24,123.5,273.6,33,1,233,43.2,3,0,0,0.7,43,DEF,9,Leicester City,
Wesley,Fofana,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,43,DEF,9,Leicester City,
Jannik,Vestergaard,1,0,0,11,563,16,15.2,159.2,15,0,115,19,1,0,2,0.5,47,DEF,9,Leicester City,
Patson,Daka,3,4,3,46,599,11,99.6,220.4,237,5,167,55.7,1,0,0,2,72,FWD,9,Leicester City,
Boubakary,Soumaré,2,0,1,33,1018,24,81.5,134.4,38,1,143,25.4,2,0,0,0.1,48,MID,9,Leicester City,
Ryan,Bertrand,1,0,0,4,337,7,14.8,48,8,0,32,7.2,0,0,1,0.3,46,DEF,9,Leicester City,
Kiernan,Dewsbury-Hall,2,0,1,26,791,14,192.4,154.2,79,1,133,42.5,2,0,1,0.2,44,MID,9,Leicester City,
Eldin,Jakupovic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,39,GK,9,Leicester City,
Ademola,Lookman,2,3,0,42,971,25,197.5,213.8,315,1,140,72.6,1,0,1,0.3,60,MID,9,Leicester City,
Vontae,Daley-Campbell,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,DEF,9,Leicester City,
Ben,Nelson,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,DEF,9,Leicester City,
Lewis,Brunt,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,9,Leicester City,
Kasey,McAteer,2,0,0,1,2,0,0,0,0,0,3,0,0,0,0,0,45,MID,9,Leicester City,
Pablo,Hernández Domínguez,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,MID,24,Leeds,
Francisco,Casilla Cortés,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,GK,24,Leeds,
Liam,Cooper,1,0,2,41,1274,20,40.8,314.2,40,4,253,39.7,3,0,4,0.2,44,DEF,24,Leeds,
Luke,Ayling,1,1,2,29,1258,38,105.4,381.8,106,3,226,59.2,0,0,0,2.9,43,DEF,24,Leeds,
Mateusz,Klich,2,1,2,43,1243,31,323.1,222.8,330,4,180,87.2,1,0,2,0.3,52,MID,24,Leeds,
Rodrigo,Moreno,3,2,2,40,1192,17,354.3,229,344,4,168,92.8,2,0,6,1.1,62,FWD,24,Leeds,
Stuart,Dallas,2,1,1,58,1975,43,365.1,442.6,219,6,349,103.1,3,0,4,3.2,49,MID,24,Leeds,
Patrick,Bamford,3,2,2,25,458,12,43.9,124.8,273,2,82,44.1,0,0,2,3,77,FWD,24,Leeds,
Diego,Llorente,1,2,0,47,1447,28,35,311.4,98,4,264,44.6,3,0,6,0.4,45,DEF,24,Leeds,
Kalvin,Phillips,2,0,1,25,999,14,111.2,162.2,81,0,129,35.6,2,0,2,1,47,MID,24,Leeds,
Hélder Wander,Sousa de Azevedo e Costa,2,0,0,1,21,0,0.4,0,1,0,1,0,0,0,0,0,54,MID,24,Leeds,
Tyler,Roberts,2,1,1,32,917,23,177.4,157.4,296,1,99,63.3,1,0,5,0.1,48,MID,24,Leeds,
Robin,Koch,1,0,0,5,630,19,25.7,69.2,47,0,75,14.2,0,0,2,0.1,43,DEF,24,Leeds,
Ian Carlo,Poveda-Ocampo,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,24,Leeds,
Raphael,Dias Belloli,2,8,2,95,1753,40,603.5,520.8,562,10,301,168.7,3,0,4,14.5,65,MID,24,Leeds,
Jamie,Shackleton,2,0,1,16,626,10,27.7,118.2,58,0,83,20.7,1,0,4,0.1,44,MID,24,Leeds,
Pascal,Struijk,1,0,1,17,1197,25,85.1,268.4,77,0,179,43.1,0,1,3,0.1,43,DEF,24,Leeds,
Illan,Meslier,0,0,0,62,2070,46,0,622.6,0,4,430,62.1,3,0,2,2.2,48,GK,24,Leeds,
Jack,Harrison,2,4,1,64,1525,42,368.8,337.6,394,5,229,109.7,1,0,2,1.9,55,MID,24,Leeds,
Daniel,James,2,4,2,65,1549,24,199.7,235.4,602,2,159,102.6,4,0,4,0.8,60,MID,24,Leeds,
Héctor Junior,Firpo Adames,1,0,0,12,926,24,136,126.6,86,2,106,34.8,1,0,5,0.3,47,DEF,24,Leeds,
Kristoffer,Klaesson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,43,GK,24,Leeds,
Sam,Greenwood,3,0,0,1,12,1,0.3,0,0,0,2,0,0,0,0,1.6,45,FWD,24,Leeds,
Crysencio,Summerville,2,0,0,5,119,1,21.8,13.4,36,0,13,7.1,0,0,0,0,45,MID,24,Leeds,
Adam,Forshaw,2,0,1,26,900,21,145.4,128.8,50,0,124,32.5,2,0,2,0.1,45,MID,24,Leeds,
Cody,Drameh,1,0,0,0,126,6,16.5,20,4,0,14,4,0,0,1,0.1,39,DEF,24,Leeds,
Charlie,Cresswell,1,0,0,4,95,3,0.4,20,0,0,17,2,0,0,0,0.3,40,DEF,24,Leeds,
Liam,McCarron,2,0,0,1,9,1,0,0,0,0,3,0,0,0,0,0,44,MID,24,Leeds,
Joe,Gelhardt,3,1,3,23,311,11,39.5,69.8,166,2,68,27.5,0,0,2,2.4,46,FWD,24,Leeds,
Nohan,Kenneh,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,MID,24,Leeds,
Stuart,McKinstry,2,0,0,1,3,0,0.1,0,0,0,3,0,0,0,0,0.4,43,MID,24,Leeds,
Leo Fuhr,Hjelde,1,0,0,2,148,5,12.8,45.6,2,0,29,6.1,0,0,0,0,40,DEF,24,Leeds,
Lewis,Bate,2,0,0,1,42,2,1.8,4.8,0,0,2,0.7,0,0,0,0,45,MID,24,Leeds,
Jack,Jenkins,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,24,Leeds,
Kris,Moore,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,DEF,24,Leeds,
Archie,Gray,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,24,Leeds,
James,Milner,2,0,1,27,609,5,179.5,169.6,55,1,133,40.5,3,0,2,0.1,49,MID,10,Liverpool,
Jordan,Henderson,2,2,3,71,1623,17,429.5,333.6,181,8,310,94.1,8,0,3,1.9,50,MID,10,Liverpool,
Adrián,San Miguel del Castillo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,43,GK,10,Liverpool,
Joel,Matip,1,0,1,80,1710,15,113.5,346.8,297,4,419,75.9,10,0,1,3,49,DEF,10,Liverpool,
Thiago,Alcántara do Nascimento,2,1,1,35,795,3,193.5,204.2,226,1,170,62.6,6,0,1,0.4,53,MID,10,Liverpool,
Xherdan,Shaqiri,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,MID,10,Liverpool,
Alex,Oxlade-Chamberlain,2,2,1,40,716,6,166.2,161,181,2,144,50.7,3,0,0,0.3,58,MID,10,Liverpool,
Roberto,Firmino,3,4,3,49,748,8,177.4,249.4,326,5,203,75.4,4,0,2,2.9,87,FWD,10,Liverpool,
Virgil,van Dijk,1,2,2,116,1980,16,93.1,492.6,290,9,529,87.6,13,0,2,17.1,67,DEF,10,Liverpool,
Sadio,Mané,2,8,3,100,1776,18,384.1,449,1083,2,282,191.6,10,0,2,2.3,117,MID,10,Liverpool,
Alisson,Ramses Becker,0,0,0,103,1980,17,0,441,0,8,465,44,12,0,0,7.6,60,GK,10,Liverpool,
Fabio Henrique,Tavares,2,4,1,69,1521,14,204.5,377.8,271,6,325,85.4,9,0,4,1,54,MID,10,Liverpool,
Mohamed,Salah,2,16,10,181,1903,18,593.4,871.6,1442,20,532,290.9,11,0,1,49.9,130,MID,10,Liverpool,
Andrew,Robertson,1,1,8,105,1574,16,576.7,432.6,225,15,460,123.5,9,1,4,6.4,71,DEF,10,Liverpool,
Divock,Origi,3,2,0,14,38,0,3.6,69,96,3,60,16.8,0,0,0,0.9,48,FWD,10,Liverpool,
Takumi,Minamino,2,2,0,18,87,0,18.3,72.6,60,0,59,15,0,0,1,0.1,51,MID,10,Liverpool,
Trent,Alexander-Arnold,1,2,10,156,1953,17,1016.6,641.6,375,28,629,203.6,12,0,1,47.8,85,DEF,10,Liverpool,
Joseph,Gomez,1,0,0,4,15,1,0.3,6.4,0,0,13,0.7,0,0,0,0.4,47,DEF,10,Liverpool,
Naby,Keita,2,2,1,37,615,3,120.1,196,151,2,143,46.9,5,0,1,0.2,50,MID,10,Liverpool,
Diogo,Jota,2,12,3,126,1654,14,377.1,541.6,998,5,352,190.8,11,0,1,40.3,85,MID,10,Liverpool,
Nathaniel,Phillips,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,42,DEF,10,Liverpool,
Caoimhin,Kelleher,0,0,0,8,180,2,0,46.2,0,0,52,4.6,1,0,0,0.1,43,GK,10,Liverpool,
Ibrahima,Konaté,1,0,0,21,630,7,13.4,139,12,0,135,16.4,3,0,2,1.1,51,DEF,10,Liverpool,
Curtis,Jones,2,1,1,28,559,7,104.9,114.2,96,3,122,31.6,2,0,0,0.1,50,MID,10,Liverpool,
Konstantinos,Tsimikas,1,0,1,33,578,3,249.9,127.6,80,2,136,45.8,4,0,2,11.1,37,DEF,10,Liverpool,
Neco,Williams,1,0,1,4,7,0,11.1,18.2,2,0,17,3.1,0,0,0,0.6,38,DEF,10,Liverpool,
Rhys,Williams,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,DEF,10,Liverpool,
Ben,Davies,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,40,DEF,10,Liverpool,
Harvey,Elliott,2,0,0,10,280,1,94.2,30.6,83,0,39,20.8,2,0,0,0.1,53,MID,10,Liverpool,
Ben,Woodburn,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,10,Liverpool,
Tyler,Morton,2,0,0,1,65,1,2.4,2.8,0,0,4,0.6,0,0,1,0,45,MID,10,Liverpool,
Kaide,Gordon,2,0,0,1,8,0,0.6,4,9,0,-3,1.4,0,0,0,0,45,MID,10,Liverpool,
Conor,Bradley,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,DEF,10,Liverpool,
Owen,Beck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,DEF,10,Liverpool,
Marcelo,de Araújo Pitaluga Filho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,GK,10,Liverpool,
Jarell,Quansah,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,DEF,10,Liverpool,
Luis,Díaz,2,0,0,3,89,0,17.5,11.2,50,0,7,7.9,1,0,0,0.3,80,MID,10,Liverpool,
Jack,Grealish,2,2,2,58,1264,4,475.1,270.4,617,0,233,136.4,11,0,1,7.5,75,MID,11,Man City,
Kyle,Walker,1,0,2,69,1305,8,184.9,216.4,91,5,314,49.2,8,0,1,5.3,54,DEF,11,Man City,
Ilkay,Gündogan,2,4,4,75,1170,5,438.9,324.6,512,6,302,127.5,9,0,1,2.9,71,MID,11,Man City,
Kevin,De Bruyne,2,7,2,97,1182,10,612.2,482.2,487,18,354,158.4,8,0,0,12.9,121,MID,11,Man City,
John,Stones,1,1,0,45,591,1,20.7,125.4,73,1,168,21.9,6,0,0,2.7,52,DEF,11,Man City,
Benjamin,Mendy,1,0,0,3,78,1,29.1,15.2,2,1,22,4.6,0,0,0,0.3,52,DEF,11,Man City,
Riyad,Mahrez,2,7,5,90,988,9,472.8,423.2,493,7,338,139,5,0,0,3.5,87,MID,11,Man City,
Raheem,Sterling,2,10,3,108,1420,10,411.3,507.2,888,8,322,180.7,9,0,1,3.3,107,MID,11,Man City,
João Pedro Cavaco,Cancelo,1,1,8,141,2057,13,506.6,533.8,527,20,555,156.9,13,0,5,45.7,72,DEF,11,Man City,
Ederson,Santana de Moraes,0,0,0,109,2160,14,0,374,0,4,479,37.5,14,0,2,12.3,61,GK,11,Man City,
Nathan,Aké,1,1,0,38,669,3,52,166,36,0,170,25.3,4,0,0,0.4,47,DEF,11,Man City,
Aymeric,Laporte,1,3,2,107,1722,12,104.9,397,267,7,441,76.7,12,1,5,9.8,58,DEF,11,Man City,
Zack,Steffen,0,0,0,7,90,0,0,23,0,1,29,2.3,1,0,0,0.2,44,GK,11,Man City,
Bernardo Mota,Veiga de Carvalho e Silva,2,7,4,114,2047,13,609.3,537.8,676,13,492,182.7,13,0,5,20,73,MID,11,Man City,
Rúben Santos,Gato Alves Dias,1,2,3,114,1951,14,189.2,489.2,194,8,504,87.4,12,0,5,27,63,DEF,11,Man City,
Gabriel Fernando,de Jesus,3,2,7,71,1320,8,379.7,297,711,8,258,139,9,0,0,5.2,85,FWD,11,Man City,
Oleksandr,Zinchenko,1,0,1,34,596,4,137.5,115,32,2,167,28.5,4,0,0,0.7,53,DEF,11,Man City,
Phil,Foden,2,6,4,89,1246,7,481.1,379.6,617,9,318,148.1,8,0,0,6.8,80,MID,11,Man City,
Rodrigo,Hernandez,2,3,1,68,1742,10,347.4,415.6,230,5,343,99.6,11,0,5,1,55,MID,11,Man City,
Ferran,Torres,2,2,1,26,303,1,30,88.6,204,2,65,32.3,3,0,0,2,67,MID,11,Man City,
Fernando,Luiz Rosa,2,1,1,31,603,7,132.5,129.6,95,2,126,35.8,3,0,1,0.3,47,MID,11,Man City,
Cole,Palmer,2,0,1,9,121,0,30.8,11,60,0,29,10.2,1,0,0,0.1,45,MID,11,Man City,
Samuel,Edozie,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,MID,11,Man City,
Tommy,Doyle,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,11,Man City,
Scott,Carson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,39,GK,11,Man City,
Luke,Mbete,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,39,DEF,11,Man City,
Joshua,Wilson-Esbrand,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,39,DEF,11,Man City,
Romeo,Lavia,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,MID,11,Man City,
Cieran,Slicker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,GK,11,Man City,
James,McAtee,2,0,0,2,18,0,0.2,0,0,0,3,0,0,0,0,0,44,MID,11,Man City,
Conrad,Egan-Riley,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,DEF,11,Man City,
Kayky da Silva,Chagas,3,0,0,1,6,0,0.3,0,0,0,2,0,0,0,0,0,50,FWD,11,Man City,
Liam,Delap,3,0,0,1,8,0,0,0,2,0,2,0.1,0,0,0,0.1,45,FWD,11,Man City,
Edinson,Cavani,3,2,1,29,600,6,50.5,99.2,262,2,92,41.3,1,0,0,2,84,FWD,12,Man Utd,
David,de Gea,0,0,0,102,2250,32,0.3,703.6,0,7,473,70.1,6,0,0,15.1,53,GK,12,Man Utd,
Nemanja,Matic,2,0,2,25,759,14,109.9,168.4,35,0,137,31.3,0,0,2,0.3,43,MID,12,Man Utd,
Paul,Pogba,2,1,8,49,828,12,257.4,261.2,255,6,175,77.2,1,1,5,8.2,74,MID,12,Man Utd,
Harry,Maguire,1,0,0,56,1773,26,46.1,374.8,201,4,325,62.2,7,1,6,5,54,DEF,12,Man Utd,
Frederico,Rodrigues de Paula Santos,2,2,4,62,1499,19,288,400.6,121,4,287,81,6,0,4,1,49,MID,12,Man Utd,
Luke,Shaw,1,0,2,42,1449,22,506.6,244.6,48,3,250,80,3,0,6,12.9,50,DEF,12,Man Utd,
Jesse,Lingard,2,2,0,21,107,4,29.1,85.6,70,1,72,18.4,0,0,1,1,67,MID,12,Man Utd,
Bruno Miguel,Borges Fernandes,2,8,5,112,2037,31,992.9,663.4,528,13,453,218.8,6,0,7,21,117,MID,12,Man Utd,
Anthony,Martial,3,1,0,14,207,3,17.5,40.4,91,2,40,14.6,0,0,0,0.5,76,FWD,12,Man Utd,
Alex Nicolao,Telles,1,0,1,31,747,7,171.8,169.4,49,0,136,39.1,3,0,0,0.7,50,DEF,12,Man Utd,
Dean,Henderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,47,GK,12,Man Utd,
