first_name,second_name,Position,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,team_id,team_name,team_rank
Emile,Smith Rowe,2,8,2,92,1299,21,325.6,442.6,393,6,334,116,6,0,0,13.9,58,MID,1,Arsenal,
Bukayo,Saka,2,6,5,99,1640,16,507.6,418,689,6,316,161.3,11,0,3,15.2,64,MID,1,Arsenal,
Gabriel,Magalhães,1,3,0,98,1656,16,68.1,423.6,274,11,420,76.5,11,1,3,6.6,53,DEF,1,Arsenal,
Konstantinos,Mavropanos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,DEF,1,Arsenal,
Mattéo,Guendouzi,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,1,Arsenal,
Gabriel Teodoro,Martinelli Silva,2,4,3,60,935,9,241.3,245,361,3,177,84.7,6,1,1,3.4,53,MID,1,Arsenal,
William,Saliba,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,DEF,1,Arsenal,
Ben,White,1,0,0,83,1800,18,120.7,382.2,80,7,391,58.3,11,0,1,13.4,45,DEF,1,Arsenal,
Nuno,Varela Tavares,1,0,1,31,619,10,94.1,110.8,122,2,128,32.7,3,0,1,0.4,43,DEF,1,Arsenal,
Albert,Sambi Lokonga,2,0,0,26,906,8,194.8,152.8,75,0,141,42.4,7,0,4,0.1,48,MID,1,Arsenal,
Folarin,Balogun,3,0,0,2,69,1,3.7,4.2,17,0,2,1.9,0,0,0,0.3,47,FWD,1,Arsenal,
Reiss,Nelson,2,0,0,1,19,1,11.6,4,20,0,4,3.6,0,0,0,0,50,MID,1,Arsenal,
Karl,Hein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,40,GK,1,Arsenal,
Martin,Ødegaard,2,4,3,78,1372,16,539,365.8,282,6,306,118.6,9,0,2,4,55,MID,1,Arsenal,
Aaron,Ramsdale,0,0,0,101,1710,16,1,442.8,0,12,431,44.4,11,0,1,19.9,51,GK,1,Arsenal,
Arthur,Okonkwo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,39,GK,1,Arsenal,
Takehiro,Tomiyasu,1,0,1,69,1384,15,198.8,262.2,95,5,303,55.7,9,0,1,2.8,46,DEF,1,Arsenal,
Charlie,Patino,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,1,Arsenal,
Omari,Hutchinson,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,1,Arsenal,
Salah-Eddine,Oulad M'hand,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,1,Arsenal,
Mika,Biereth,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,FWD,1,Arsenal,
Ryan,Alebiosu,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,DEF,1,Arsenal,
Zach,Awe,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,DEF,1,Arsenal,
Calum,Chambers,1,0,0,4,261,8,18.2,63.4,16,0,41,9.8,0,0,0,0.2,42,DEF,2,Aston Villa,
Jed,Steer,0,0,0,1,90,3,0,8.2,0,0,13,0.8,0,0,0,2.4,39,GK,2,Aston Villa,
Conor,Hourihane,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,MID,2,Aston Villa,
Emiliano,Martínez,0,0,0,79,1980,33,0,522.6,0,7,401,52.1,6,0,3,12.3,55,GK,2,Aston Villa,
Björn,Engels,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,DEF,2,Aston Villa,
Bertrand,Traoré,2,0,1,10,149,3,7.4,15.4,60,0,33,8.3,0,0,0,0.3,57,MID,2,Aston Villa,
Morgan,Sanson,2,0,0,8,222,6,23.5,35.8,1,0,35,6.2,0,0,0,0,50,MID,2,Aston Villa,
John,McGinn,2,3,2,67,1740,30,441.4,405.4,121,8,289,96.8,5,0,6,1.1,58,MID,2,Aston Villa,
Kortney,Hause,1,1,0,20,397,9,5.9,102.8,64,3,89,17.3,1,0,0,0.2,44,DEF,2,Aston Villa,
Mahmoud Ahmed,Ibrahim Hassan,2,0,0,1,10,1,2,1.8,10,0,4,1.4,0,0,0,0,54,MID,2,Aston Villa,
Tyrone,Mings,1,1,2,70,1838,31,67.3,415.6,244,9,345,72.6,6,0,6,5.9,50,DEF,2,Aston Villa,
Ollie,Watkins,3,5,2,71,1690,30,263.9,308,724,9,208,129.3,5,0,3,11.7,76,FWD,2,Aston Villa,
Marvelous,Nakamba,2,0,0,16,754,16,39.5,118.2,0,0,96,15.9,1,0,4,0.1,44,MID,2,Aston Villa,
Emiliano,Buendía Stati,2,2,3,64,1360,24,403.4,302.6,327,5,240,103.4,5,0,1,1.1,62,MID,2,Aston Villa,
Matthew,Cash,1,1,1,69,2053,33,269.3,387,311,3,343,96.8,7,0,6,4.3,51,DEF,2,Aston Villa,
Ezri,Konsa Ngoyo,1,2,0,59,1798,33,40.3,328.4,209,3,268,57.6,6,2,3,1,49,DEF,2,Aston Villa,
Frédéric,Guilbert,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,DEF,2,Aston Villa,
Wesley,Moraes,3,0,0,1,1,0,0.5,0,0,0,2,0,0,0,0,0.1,54,FWD,2,Aston Villa,
Mbwana Ally,Samatta,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,FWD,2,Aston Villa,
Keinan,Davis,3,0,0,1,11,0,1,0.4,0,0,2,0.1,0,0,0,1.8,45,FWD,2,Aston Villa,
Douglas Luiz,Soares de Paulo,2,0,3,49,1593,24,371.4,278.8,49,1,275,70.1,6,0,4,1.8,44,MID,2,Aston Villa,
Jacob,Ramsey,2,5,1,73,1423,20,186,360.2,269,6,251,81.8,7,0,4,7.7,48,MID,2,Aston Villa,
Ashley,Young,1,0,2,31,740,13,108.4,109.8,93,0,126,31.1,2,0,0,0.5,47,DEF,2,Aston Villa,
Lucas,Digne,1,0,1,42,1530,28,421.3,295.8,124,5,249,84.3,4,0,5,9.1,51,DEF,2,Aston Villa,
Danny,Ings,3,4,2,56,1136,20,69.9,228.4,388,6,197,68.5,4,0,2,7.5,77,FWD,2,Aston Villa,
Leon,Bailey,2,1,3,27,438,7,73.5,116.8,180,1,82,37.2,1,0,2,0.4,63,MID,2,Aston Villa,
Aaron,Ramsey,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,44,MID,2,Aston Villa,
Jaden,Philogene-Bidace,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,50,MID,2,Aston Villa,
Carney,Chukwuemeka,2,0,1,13,186,3,29.2,37,47,0,39,11.5,0,0,0,0,45,MID,2,Aston Villa,
